"Week","Stored Energy Value 2019 [MWh] - France (FR)","Stored Energy Value 2020 [MWh] - France (FR)","Stored Energy Value 2021 [MWh] - France (FR)","Stored Energy Value 2022 [MWh] - France (FR)","Stored Energy Value 2023 [MWh] - France (FR)","Stored Energy Value 2024 [MWh] - France (FR)","Stored Energy Value 2025 [MWh] - France (FR)"
"Week 1","2186488","2780215","2407326","2152112","2327857","2736874","2309240"
"Week 2","2055622","2742325","2081829","2137089","2347129","2368286","2299998"
"Week 3","1931241","2652974","1924342","1998118","2331058","2201546","1977318"
"Week 4","1750281","2426891","1772556","1817029","1860943","2146234","1848804"
"Week 5","1591274","2194236","1859154","1747271","1741224","2010901","1844466"
"Week 6","1474810","2214084","1726279","1729375","1548596","1968080","1619306"
"Week 7","1446619","2174132","1533892","1697421","1489626","1855119","1415176"
"Week 8","1319494","2116585","1515570","1739794","1443310","1729303","1334553"
"Week 9","1227480","2008603","1386764","1604668","1343353","1608686","1225864"
"Week 10","1161979","1864482","1176034","1420843","1351720","1476807","1138249"
"Week 11","1157528","1816423","1154107","1375108","1437424","1359339","1005509"
"Week 12","1135050","1779274","994654","1369050","1480070","1302023","1014652"
"Week 13","1064149","1763973","961615","1334846","1508365","1266893","981479"
"Week 14","984486","1614814","998746","1197120","1512237","1366371","989282"
"Week 15","932025","1513412","917246","1229508","1545065","1472230","1043992"
"Week 16","921232","1551504","874649","1338623","1579550","1519826","1151773"
"Week 17","1004280","1670557","940614","1380258","1591705","1365398","1211795"
"Week 18","1112875","1740867","1047965","1418563","1737740","1542295","1383377"
"Week 19","1130279","1977501","1231647","1511294","1952971","1667564","1585936"
"Week 20","1254728","2184713","1413451","N/A","2051871","1838640","1703194"
"Week 21","1324928","2355412","1509465","1954315","2200163","2010012","1872779"
"Week 22","1481998","2576537","1628356","2156969","2404082","2230715","2077156"
"Week 23","1701147","2698730","1803076","2345706","2579634","2408135","2327220"
"Week 24","1959725","2775806","2002076","2411291","2708825","2641985","-"
"Week 25","2172242","2837466","2183321","2434351","2827813","2844151","-"
"Week 26","2394994","2854415","2310252","2482855","2932525","2944520","-"
"Week 27","2572658","2972388","2349488","2469618","2965488","3029501","-"
"Week 28","2673159","3064947","2463983","2462110","3007664","3103410","-"
"Week 29","2690219","3087938","2538196","2382772","3013784","3100987","-"
"Week 30","2697155","3088372","2549423","2312574","3000966","3124668","-"
"Week 31","2742271","3100546","2607829","2274044","2985265","3109449","-"
"Week 32","2749841","3062108","2658935","2280964","2933071","3108334","-"
"Week 33","2762882","3013309","2655591","2249940","2870892","3107154","-"
"Week 34","2777986","2986398","2612909","2250959","2829706","3119304","-"
"Week 35","2760250","2955316","2537592","2244154","2898999","3078593","-"
"Week 36","2718854","2975651","2471418","2240533","2865844","3060686","-"
"Week 37","N/A","2929369","2394175","2252727","2818485","3099055","-"
"Week 38","2689334","2855432","2361161","2254828","2809675","3058568","-"
"Week 39","2650572","2821249","2330764","2253974","2776356","3088144","-"
"Week 40","2648638","2801270","2373290","2313405","2705939","3065386","-"
"Week 41","2625151","2964842","2385992","2320864","2613447","3138703","-"
"Week 42","2649054","3019708","2356588","2315468","2620085","3178944","-"
"Week 43","2771196","2956736","2291919","2419163","2730776","3129709","-"
"Week 44","2851394","3041148","2349925","2455704","2856838","3059150","-"
"Week 45","2986771","3088786","2344289","2495545","2847567","2923038","-"
"Week 46","2954760","3035130","2216776","2499746","2978309","2826322","-"
"Week 47","2792032","3012185","2119853","2518920","2932723","2807633","-"
"Week 48","2815568","2929262","2024972","2462887","2883329","2782368","-"
"Week 49","2815166","2674858","2059628","2374305","2789836","2727543","-"
"Week 50","2657645","2521048","2010670","2190805","2806027","2538814","-"
"Week 51","2652638","2454326","1928190","2142607","2761956","2548290","-"
"Week 52","2804309","2473628","2029801","2284112","2795844","2379059","-"
"Week 53","","2532396","","","","",""
