"Week","Stored Energy Value 2019 [MWh] - Italy (IT)","Stored Energy Value 2020 [MWh] - Italy (IT)","Stored Energy Value 2021 [MWh] - Italy (IT)","Stored Energy Value 2022 [MWh] - Italy (IT)","Stored Energy Value 2023 [MWh] - Italy (IT)","Stored Energy Value 2024 [MWh] - Italy (IT)","Stored Energy Value 2025 [MWh] - Italy (IT)"
"Week 1","3036299","3290402","3208963","2522113","2205127","3216474","2941986"
"Week 2","2704739","3127104","3117284","2462212","2202106","3053817","2856576"
"Week 3","2593794","2982378","3011527","2388624","2233303","2926584","2748416"
"Week 4","2490190","2857100","2982901","2195808","2240372","2778409","2630552"
"Week 5","2473671","2761989","2886318","2115744","2247612","2619505","2530057"
"Week 6","2517152","2663254","2831034","2034082","2077650","2521816","2443589"
"Week 7","2469445","2591666","2709823","1972757","2031607","2440737","2367453"
"Week 8","2392672","2507106","2591988","2135854","1987496","2334937","2251987"
"Week 9","2313400","2432371","2470744","2078922","2006272","2337521","2148477"
"Week 10","2254138","2330923","2362042","1839557","1841496","2282945","2039163"
"Week 11","2223447","2306813","2262471","1837814","1864529","2233150","2084646"
"Week 12","2223185","2301744","2205432","1850567","1885022","2141587","2024098"
"Week 13","2224171","2308465","2177522","1850487","1935619","2088700","1808301"
"Week 14","2213155","2344283","2196030","1880822","1974610","2121725","2065082"
"Week 15","2226789","2386071","2138508","1910548","2030668","2164741","2079281"
"Week 16","2238218","2435944","2106126","1973753","2092457","2136364","2245531"
"Week 17","2235118","2536276","2136963","2008697","2174434","2035021","2302533"
"Week 18","2385351","2689170","2224786","2063417","2358161","2107756","2403469"
"Week 19","2415405","2800064","2369558","2197607","2524475","2160930","2547457"
"Week 20","2447059","3015455","2476447","2419503","2689166","2330995","2595234"
"Week 21","2592740","3293225","2511966","2576437","2888296","2450927","N/A"
"Week 22","2765628","3416423","2665591","2663424","3122609","2561825","2847720"
"Week 23","2922566","3505076","2879527","2741659","3293271","2820329","3216407"
"Week 24","3356910","3691662","3071905","2719187","3440806","3096094","-"
"Week 25","3699271","3756357","3311711","2670227","3602877","3368471","-"
"Week 26","3844951","3781221","3437892","2852027","3689398","3596013","-"
"Week 27","4066554","3956998","3472173","2681877","3726987","3726942","-"
"Week 28","4112154","4021252","3594350","2614979","3802050","3855592","-"
"Week 29","4119959","3991002","3598387","2614979","3755194","3819275","-"
"Week 30","4119282","3942383","3597507","2377336","3726084","3732687","-"
"Week 31","4114254","3923114","3622011","2361321","3645141","3635111","-"
"Week 32","4105847","3846485","3656351","2336672","3529389","3514934","-"
"Week 33","4074133","3854953","3577435","2341979","3481729","3430211","-"
"Week 34","4025899","3807057","3444990","2319283","3450786","3342258","-"
"Week 35","3938394","3825828","3259127","2283430","3534188","3238305","-"
"Week 36","3850573","N/A","3161635","2287671","3457214","3233200","-"
"Week 37","3788557","3755156","3099562","2289541","3365511","3229697","-"
"Week 38","3659235","3610980","3088420","2269171","3433155","3116777","-"
"Week 39","3496676","3511266","3001807","2222284","3401435","3203240","-"
"Week 40","3372804","3575840","3108077","2207775","3336157","3214111","-"
"Week 41","3358775","3720602","3060785","2185858","3276952","3418132","-"
"Week 42","3317804","3666317","2986852","2217213","3391787","3405276","-"
"Week 43","3496510","3604714","2932073","2355750","3494647","3381998","-"
"Week 44","3570899","3640905","2873496","2369320","3663559","3346014","-"
"Week 45","3565581","3602464","2871634","2340800","3598085","3247430","-"
"Week 46","3605834","3519272","2779262","2311316","3571995","3154668","-"
"Week 47","3641823","3415110","2767351","2297352","3511090","3133727","-"
"Week 48","3584183","3325664","2776654","2270509","3539528","3104774","-"
"Week 49","3453395","3284366","2831420","2249585","3484863","3065534","-"
"Week 50","3313876","3368023","2830287","2239061","3424733","3008514","-"
"Week 51","3248640","3316442","2807977","2265916","3343648","3021003","-"
"Week 52","3283708","3244488","2650006","2234005","3280575","2999752","-"
"Week 53","","3270448","","","","",""
