"Week","Stored Energy Value 2019 [MWh] - Sweden (SE)","Stored Energy Value 2020 [MWh] - Sweden (SE)","Stored Energy Value 2021 [MWh] - Sweden (SE)","Stored Energy Value 2022 [MWh] - Sweden (SE)","Stored Energy Value 2023 [MWh] - Sweden (SE)","Stored Energy Value 2024 [MWh] - Sweden (SE)","Stored Energy Value 2025 [MWh] - Sweden (SE)"
"Week 1","18035000","20727000","24806000","19630000","18424000","17532000","26123000"
"Week 2","17301000","20546000","23605000","19216000","17778000","16646000","25063000"
"Week 3","16239000","20092000","22596000","18718000","16707000","15264000","25273000"
"Week 4","15003000","19893000","21232000","18142000","16127000","14533000","24858000"
"Week 5","13793000","19415000","19846000","17101000","15041000","14318000","24027000"
"Week 6","12848000","18612000","18499000","16343000","14401000","12890000","23075000"
"Week 7","12065000","17849000","17223000","15273000","13514000","11804000","21856000"
"Week 8","11207000","17188000","16292000","14253000","12473000","10895000","20777000"
"Week 9","10463000","16056000","15521000","13208000","11822000","9957000","19808000"
"Week 10","9690000","14897000","14460000","12079000","10324000","8608000","19236000"
"Week 11","8711000","13942000","13484000","11200000","9385000","7725000","18219000"
"Week 12","7993000","12836000","12876000","10607000","8471000","6763000","17463000"
"Week 13","7518000","11785000","12575000","9768000","7346000","6096000","16714000"
"Week 14","6906000","10848000","11990000","9122000","6175000","5582000","16589000"
"Week 15","6123000","9989000","11211000","8289000","5709000","6083000","16199000"
"Week 16","5697000","9273000","11204000","8332000","5806000","6151000","16762000"
"Week 17","7650000","9042000","10632000","8617000","5957000","5775000","16904000"
"Week 18","10050000","8817000","10189000","9009000","5873000","6698000","17481000"
"Week 19","11201000","8735000","11749000","10484000","7735000","8370000","17614000"
"Week 20","12601000","8453000","15826000","11949000","11828000","12518000","18456000"
"Week 21","15331000","8655000","18286000","15373000","14822000","15679000","19485000"
"Week 22","17171000","10943000","20481000","19581000","16309000","18308000","21461000"
"Week 23","19835000","15082000","22736000","21425000","17197000","19738000","23519000"
"Week 24","22379000","18707000","24103000","23198000","18283000","20430000","-"
"Week 25","24248000","21824000","24963000","24598000","19975000","21131000","-"
"Week 26","25300000","24193000","24833000","26665000","21118000","21624000","-"
"Week 27","25945000","25683000","24870000","27692000","21561000","22186000","-"
"Week 28","26124000","26369000","24833000","28250000","21969000","22712000","-"
"Week 29","26084000","27014000","24794000","28399000","22731000","23240000","-"
"Week 30","26231000","28411000","24526000","28572000","23094000","23997000","-"
"Week 31","25937000","29398000","23946000","28655000","23653000","24463000","-"
"Week 32","25669000","29676000","23566000","28380000","25260000","24930000","-"
"Week 33","25864000","29297000","23939000","28799000","25751000","25323000","-"
"Week 34","26044000","28821000","23987000","28683000","25914000","26147000","-"
"Week 35","26104000","28217000","23839000","27983000","26000000","26701000","-"
"Week 36","26376000","27626000","23837000","26955000","26296000","26698000","-"
"Week 37","26817000","27426000","23362000","26852000","26458000","27075000","-"
"Week 38","27207000","27439000","23318000","26243000","27631000","26860000","-"
"Week 39","27208000","28350000","23711000","25967000","28432000","27215000","-"
"Week 40","27044000","28455000","25074000","26392000","28573000","26870000","-"
"Week 41","26634000","28977000","25892000","26563000","28876000","27490000","-"
"Week 42","26270000","29092000","26116000","26219000","28470000","27837000","-"
"Week 43","26315000","28901000","26666000","25852000","27664000","28859000","-"
"Week 44","25846000","29087000","27244000","25611000","27078000","29095000","-"
"Week 45","24884000","30435000","27045000","25932000","26124000","29407000","-"
"Week 46","24177000","30343000","26774000","25403000","25018000","29580000","-"
"Week 47","23667000","30498000","26034000","24368000","24091000","28993000","-"
"Week 48","22921000","29971000","24798000","23082000","22820000","28642000","-"
"Week 49","22429000","29294000","23492000","21947000","21419000","28231000","-"
"Week 50","21817000","28376000","22975000","20754000","20349000","27717000","-"
"Week 51","21044000","27612000","21933000","19769000","19696000","27095000","-"
"Week 52","20385000","26965000","20849000","19342000","18943000","26839000","-"
"Week 53","","N/A","","","","",""
