"Week","Stored Energy Value 2019 [MWh] - Switzerland (CH)","Stored Energy Value 2020 [MWh] - Switzerland (CH)","Stored Energy Value 2021 [MWh] - Switzerland (CH)","Stored Energy Value 2022 [MWh] - Switzerland (CH)","Stored Energy Value 2023 [MWh] - Switzerland (CH)","Stored Energy Value 2024 [MWh] - Switzerland (CH)","Stored Energy Value 2025 [MWh] - Switzerland (CH)"
"Week 1","4656491","5024346","3816687","3413189","4720289","4266060","4659000"
"Week 2","4420007","4836538","3337784","3284192","4499177","4031253","4414000"
"Week 3","4154307","4470250","2965061","3013615","4335093","2996454","4131000"
"Week 4","3693327","3974427","2694185","2740467","3886897","3326345","3612000"
"Week 5","3288999","3522049","2523104","2497420","3518713","2472130","3186000"
"Week 6","2971002","3377738","2246832","2335488","3286800","2704898","2915000"
"Week 7","2785098","3187271","1887222","2197142","3029737","2485934","2569000"
"Week 8","2575417","2950328","1376121","2152216","2874832","2269165","2149000"
"Week 9","2383139","2777359","1376444","1956045","2601688","1979325","1806000"
"Week 10","2214801","2491899","1258860","1800974","2245255","1647278","1552000"
"Week 11","2260666","2231266","1061564","1677582","2095902","1345330","1397000"
"Week 12","2154299","2111731","915140","1594340","2004233","1172766","1349000"
"Week 13","1514409","1971748","789973","1468006","1943866","992491","1258000"
"Week 14","1773596","1761976","698871","1319018","1842572","918259","1200000"
"Week 15","1576893","1650543","544032","1303804","1689372","892619","1151000"
"Week 16","1446670","1628357","473348","1321091","1539998","917100","1138000"
"Week 17","1546552","1750195","478867","1285711","1511014","844904","1236000"
"Week 18","1535382","1839944","443516","1291841","1575017","759238","1211000"
"Week 19","1415078","1957557","593045","1326731","1668848","795928","1361000"
"Week 20","1377243","2172487","684748","1627931","1958656","1123038","1429000"
"Week 21","1309645","2495955","757966","2122847","2124025","1267976","1505000"
"Week 22","1472698","2903176","904712","2397997","2367672","1402927","1588000"
"Week 23","1760690","3170516","1237715","2742167","2593408","1688615","1977000"
"Week 24","2469985","3348991","1715395","2900550","2853062","2162190","-"
"Week 25","3177740","3566746","2388357","3029483","3139062","2604852","-"
"Week 26","3818985","3734776","2804201","3341824","3144183","3102329","-"
"Week 27","4526333","4098638","3243904","3744322","3409793","3751374","-"
"Week 28","4834229","4469305","3787791","4008433","3574589","4191324","-"
"Week 29","5059643","4672790","4198465","3552568","3868846","4450331","-"
"Week 30","5222251","4811324","4592451","4438693","3992148","4698099","-"
"Week 31","5465637","5015498","4976547","4630849","4213980","4798635","-"
"Week 32","5598789","5288900","5242877","5076859","4326893","4849916","-"
"Week 33","5981957","5430843","5489349","5242221","4413009","4901319","-"
"Week 34","6204067","5605040","5594111","5487779","4542364","4887173","-"
"Week 35","6162148","5792003","5571350","5571238","4822663","4945732","-"
"Week 36","6218503","6028810","5510722","5676547","4868065","4910861","-"
"Week 37","6178006","6052992","5445659","5730300","4808295","5050971","-"
"Week 38","6008842","6056871","5627901","5617136","4906416","4934057","-"
"Week 39","6196739","6047436","5229570","5709046","4902194","4816933","-"
"Week 40","6347495","5968872","5443917","5806307","4985627","4976770","-"
"Week 41","6437553","6274022","5485815","5782825","4899270","5086269","-"
"Week 42","6437555","6071816","5430645","5700921","4862198","5208464","-"
"Week 43","6572889","4560633","5227796","6087859","5018655","5029299","-"
"Week 44","6532757","5829148","5157065","6051642","5126668","4886566","-"
"Week 45","6478401","4771901","4365997","6038585","5093846","3917160","-"
"Week 46","6329661","5795730","4087302","5981784","5036932","4527961","-"
"Week 47","6025063","5552431","3873102","5962618","4983973","4239963","-"
"Week 48","5850872","5316712","3648552","5594084","4743491","3951994","-"
"Week 49","5632139","4875501","3851389","5249036","4468514","3871501","-"
"Week 50","5373795","3602946","3607640","4827689","4324160","3270636","-"
"Week 51","5123496","4201110","3393697","4856943","4240408","2923236","-"
"Week 52","5106276","4048907","3411811","4880442","4253319","2839966","-"
"Week 53","","4023212","","","","",""
